date,opponent,homeawayneutral,calrunsscored,opponentrunsscored
15-Feb,CSU Bakersfield,N,4,3
16-Feb,Pepperdine,N,5,7
17-Feb,Northwestern,N,5,9
18-Feb,Brigham Young,N,10,6
22-Feb,Cal Poly,A,10,2
23-Feb,Cal Poly,A,5,4
24-Feb,Cal Poly,A,5,3
28-Feb,Saint Mary's,H,3,10
1-Mar,Saint Mary's,H,13,1
2-Mar,Saint Mary's,A,-1,-1
3-Mar,Saint Mary's,A,9,3
8-Mar,LSU,A,3,4
9-Mar,LSU,A,5,2
9-Mar,LSU,A,4,5
12-Mar,SJSU,H,13,0
15-Mar,USC,H,5,9
16-Mar,USC,H,0,1
17-Mar,USC,H,9,8
19-Mar,USF,H,10,7
22-Mar,Oregon State,A,3,2
23-Mar,Oregon State,A,2,3
24-Mar,Oregon State,A,5,10
26-Mar,Sacramento State,A,0,6
29-Mar,Long Beach State,H,7,1
30-Mar,Long Beach State,H,10,5
31-Mar,Long Beach State,H,13,5
5-Apr,Washington State,H,6,0
6-Apr,Washington State,H,6,1
7-Apr,Washington State,H,9,5
8-Apr,New Mexico,H,-1,-1
12-Apr,Arizona,A,10,7
13-Apr,Arizona,A,7,3
14-Apr,Arizona,A,2,4
18-Apr,UCLA,A,7,8
19-Apr,UCLA,A,4,1
20-Apr,UCLA,A,1,6
23-Apr,Sacramento State,H,-1,-1
26-Apr,University of Oregon,H,-1,-1
27-Apr,University of Oregon,H,-1,-1
28-Apr,University of Oregon,H,-1,-1
29-Apr,Brigham Young,H,-1,-1
3-May,Utah,A,-1,-1
4-May,Utah,A,-1,-1
5-May,Utah,A,-1,-1
7-May,USF,A,-1,-1
10-May,Stanford,H,-1,-1
11-May,Stanford,H,-1,-1
12-May,Stanford,H,-1,-1
17-May,Arizona State,H,-1,-1
18-May,Arizona State,H,-1,-1
19-May,Arizona State,H,-1,-1
23-May,UW,A,-1,-1
24-May,UW,A,-1,-1
25-May,UW,A,-1,-1